Year,transport_actual,transport_adjusted,transport_trend
2001,19.219012268072895,18.75251986195977,18.766208630243113
2002,19.188976977581437,19.181687657598417,19.1771990183501
2003,19.876577747478816,19.87052267153406,19.872780245661033
2004,20.405169430718118,20.41035068180912,20.390465189223047
2005,20.641825614656184,20.643345919548537,20.659514257919156
2006,20.97899364884556,20.98189461478993,21.014798587187308
2007,21.49758008182003,21.50108161326743,21.497354648289207
2008,21.82670967614651,21.829756118809343,21.791719159022367
2009,22.082772507090375,22.07676475311405,22.072854378190712
2010,22.258791279634902,22.25484429594151,22.281460450196622
2011,22.641831986457557,22.650899581020294,22.740908057370316
2012,23.36468074344679,23.37724793656917,23.248704494090703
2013,23.03984257426155,23.03811965999807,23.061846935412227
2014,23.56132361148799,23.557745128656478,23.56285358657864
2015,23.84696167975919,23.84399922482517,23.856571857576366
2016,24.427862746245374,24.42181335804824,24.11621014158898
2017,24.61907155563298,24.611154870567297,24.63907859287643
2018,25.162136280628204,25.16636716206807,25.145840642798362
2019,24.929690249585853,24.9381789031491,24.85509265472472
2020,21.895095782084237,21.910594131042224,22.268188210071834
2021,22.448877412405512,22.73155148737331,23.125311687880213
